,commit_hash,filename,old_path,new_path,added_lines,deleted_lines
56,42fc0292254d72814eed0a32e0c5f9bd849a1742,stemming.mp4,nlp\stemming.mp4,nlp\stemming.mp4,0,0
57,f4d3f2eca6b875f15c911369c50acf7531f4f552,stemming.mp4,nlp\stemming.mp4,nlp\stemming.mp4,0,0
58,bca1d3ac137a30561fae79a94e5f508c42b4d313,stemming_and_lemmatization.ipynb,,nlp\stemming_and_lemmatization.ipynb,163,0
59,36eb4aa56c11398290915317e1cebf77476f7421,pos_and_tagging.ipynb,,nlp\pos_and_tagging.ipynb,278,0
60,1a7fbea000153d9181957c3e5193b702e40719e3,pos_and_tagging.ipynb,nlp\pos_and_tagging.ipynb,nlp\pos_and_tagging.ipynb,1461,79
61,278058ed594b7c6136497ee9463b77bf3d50f64c,ner.ipynb,,nlp\ner.ipynb,281,0
62,127b1a8ed2bf2c92b5abdcf02a0aca234c6340a1,ner.ipynb,nlp\ner.ipynb,nlp\ner.ipynb,16,63
63,2e2ca3a3b07c7f977bc3eac9547490069cfb29f0,BERT_language_model.ipynb,,BERT_language_model.ipynb,557,0
64,40aa4601238b3b230e463b3774c60368163d73aa,BERT_language_model.ipynb,BERT_language_model.ipynb,,0,557
65,a05fca0b43f4e9545e8a9fd014d84941b8d244fd,BERT_language_model.ipynb,,nlp\BERT_language_model.ipynb,569,0
66,5fd9c24b744623487a6deedb1241612179197a5d,BERT_language_model.ipynb,nlp\BERT_language_model.ipynb,nlp\BERT_language_model.ipynb,149,173
